,Segm,Voltage,WT
0,6,0.659758985042572,10.0
1,6,0.6797559857368469,10.0
2,5,0.5785530209541321,10.0
3,5,0.7017530202865601,10.0
4,1,1.6724799871444702,10.0
5,1,1.4561500549316406,10.0
6,1,1.45346999168396,10.0
7,1,1.711840033531189,10.0
8,17,2.377190113067627,10.0
9,17,2.3916099071502686,10.0
10,17,2.437459945678711,10.0
11,17,2.4050099849700928,10.0
12,1,1.719349980354309,10.0
13,1,1.4110900163650513,10.0
14,1,1.689329981803894,10.0
15,1,1.2987899780273438,10.0
16,1,1.5062700510025024,10.0
17,1,1.2817599773406982,10.0
18,1,1.5950700044631958,10.0
19,1,1.4172699451446533,10.0
20,1,1.1624699831008911,10.0
21,6,1.3330600261688232,10.0
22,6,1.127560019493103,10.0
23,6,1.289489984512329,10.0
24,6,1.0469800233840942,10.0
25,6,1.1371400356292725,10.0
26,6,0.9675750136375427,10.0
27,6,1.0597699880599976,10.0
28,6,0.884361982345581,10.0
29,6,0.980193018913269,10.0
30,6,0.7943059802055359,10.0
31,6,0.9078400135040283,10.0
32,6,0.7192739844322205,10.0
33,6,0.7679359912872314,10.0
34,6,0.6921889781951904,10.0
35,6,0.7565469741821289,10.0
36,6,0.6773520112037659,10.0
37,6,0.7631700038909912,10.0
38,6,0.684004008769989,10.0
39,6,0.7749879956245422,10.0
40,6,0.745805025100708,10.0
41,6,0.7613850235939026,10.0
42,5,0.7971529960632324,10.0
43,6,0.8245880007743835,10.0
44,5,0.8743360042572021,10.0
45,6,0.7911059856414795,10.0
46,6,0.846219003200531,10.0
47,5,0.9219589829444885,10.0
48,6,0.8956429958343506,10.0
49,5,0.9302889704704285,10.0
50,6,0.9269090294837952,10.0
51,5,0.947396993637085,10.0
52,6,0.9577710032463074,10.0
53,5,0.9524319767951965,10.0
54,6,0.990539014339447,10.0
55,5,0.9776899814605713,10.0
56,6,0.9926829934120178,10.0
57,5,1.0033199787139893,10.0
58,6,1.0080100297927856,10.0
59,5,1.0264899730682373,10.0
60,6,0.9980970025062561,10.0
61,6,1.0254299640655518,10.0
62,5,1.0652600526809692,10.0
63,6,1.0592800378799438,10.0
64,5,1.0876100063323975,10.0
65,12,1.098230004310608,10.0
66,11,1.1311999559402466,10.0
67,12,1.0816500186920166,10.0
68,12,1.1070499420166016,10.0
69,11,1.1462500095367432,10.0
70,12,1.1209700107574463,10.0
71,11,1.1563199758529663,10.0
72,12,1.1344399452209473,10.0
73,11,1.1571400165557861,10.0
74,12,1.158229947090149,10.0
75,11,1.1696699857711792,10.0
76,12,1.2201999425888062,10.0
77,11,1.1818499565124512,10.0
78,12,1.2209199666976929,10.0
79,11,1.2250800132751465,10.0
80,12,1.2622599601745605,10.0
81,11,1.2686799764633179,10.0
82,12,1.2665400505065918,10.0
83,12,1.2752699851989746,10.0
84,11,1.2948399782180786,10.0
85,12,1.2826100587844849,10.0
86,11,1.2941999435424805,10.0
87,12,1.2835899591445923,10.0
88,12,1.2954000234603882,10.0
89,11,1.2880200147628784,10.0
90,12,1.3347899913787842,10.0
91,11,1.3052400350570679,10.0
92,16,1.3574299812316895,10.0
93,16,1.3512599468231201,10.0
94,16,1.3806899785995483,10.0
95,16,1.3637399673461914,10.0
96,16,1.3952900171279907,10.0
97,16,1.3822400569915771,10.0
98,16,1.4047399759292603,10.0
99,16,1.3932700157165527,10.0
100,16,1.4356000423431396,10.0
101,16,1.4116300344467163,10.0
102,16,1.4851800203323364,10.0
103,16,1.4554200172424316,10.0
104,16,1.477370023727417,10.0
105,16,1.5246200561523438,10.0
106,16,1.5504399538040161,10.0
107,17,1.6274000406265259,10.0
108,17,1.6122699975967407,10.0
109,17,1.6300899982452393,10.0
110,17,1.7266499996185303,10.0
111,17,1.7311300039291382,10.0
112,17,1.8501399755477905,10.0
113,17,1.8318099975585938,10.0
114,17,2.0103700160980225,10.0
115,17,1.9198399782180786,10.0
116,17,2.054810047149658,10.0
117,17,2.0678699016571045,10.0
118,17,2.1546499729156494,10.0
119,17,2.178570032119751,10.0
